id;session_code;name_of_activity;location;start_date;end_date;attendees_number;session_type;description;comment
1;ff6047b5-ec66-46e3-8969-825c451ca60a;Checking Account;SOLOMON_ISLANDS;2019-12-31;2019-12-30;78075;REGIONAL_COURSE;Islands;deposit coherent Handmade
2;dc9a868a-8d64-4ca7-918c-6efb536151b3;Ville Shirt;JAPAN;2019-12-30;2019-12-30;68376;REGIONAL_COURSE;Ethiopian Birr Response;lime open-source Unbranded
3;e5e042aa-b8ff-4840-b981-8b74372db8e4;International feed grey;USSR;2019-12-30;2019-12-30;31475;POST_GRAD_CERTIFICATE_PROGRAMS;Personal Loan Account;Licensed Saint Helena Pound
4;1d9b84c9-890c-4131-9473-d999d2079d01;Identity Utah Directives;NIUE;2019-12-30;2019-12-30;64741;NATIONAL_COURSE;transmitting;User-friendly deposit User-centric
5;f3039b0b-e3b3-4356-895a-87b33bf04db0;Hawaii Credit Card Account background;JAPAN;2019-12-30;2019-12-31;70712;NATIONAL_COURSE;microchip Tasty Cotton Sausages;Up-sized Architect
6;5a4dd270-cbaa-4845-a474-0ab96672b7d0;cross-media;NEW_CALEDONIA;2019-12-31;2019-12-31;67602;NATIONAL_SEMINAR_OR_WORKSHOP;Incredible Concrete Chair Turkish Lira logistical;platforms Frozen Industrial
7;466be2b6-f51b-4e36-a3f9-96f6245fb9cd;Table fuchsia;MARSHALL_ISLANDS;2019-12-30;2019-12-31;15476;NATIONAL_SEMINAR_OR_WORKSHOP;Movies Granite Malta;Dynamic Cape
8;8a44ff2b-47a7-4b15-89fa-1f090dfaa938;Accounts Auto Loan Account Pants;HONG_KONG;2019-12-30;2019-12-31;88670;NATIONAL_COURSE;SQL;Sleek Wooden Bike
9;d64a9cec-2b80-42fa-a384-37d51209dee5;Research;ALL_SOPAC_MEMBER_COUNTRIES;2019-12-31;2019-12-31;94943;REGIONAL_SEMINAR_OR_WORKSHOP;matrix Rubber foreground;GB
10;bc418227-e9e7-4c6c-b5d2-cd28424e0546;actuating;FRANCE;2019-12-30;2019-12-30;56833;NATIONAL_SEMINAR_OR_WORKSHOP;moderator;Berkshire
